Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,CP_EIA-3216-18_Kemet-A_stealth,275.541390,24.511000,90.000000,bottom
C2,10uF,CP_EIA-3216-18_Kemet-A_stealth,273.152890,24.511000,90.000000,bottom
C3,1uF,C_0603_1608Metric_stealth,269.130390,22.298500,0.000000,bottom
C4,4.7uF,C_0603_1608Metric_stealth,269.128890,24.198500,0.000000,bottom
C5,1uF,C_0603_1608Metric_stealth,272.200390,19.621500,90.000000,bottom
C6,4.7uF,C_0603_1608Metric_stealth,288.168000,4.018008,90.000000,bottom
C7,100nF,C_0603_1608Metric_stealth,286.448500,4.018008,90.000000,bottom
C8,100nF,C_0603_1608Metric_stealth,269.240000,12.129008,180.000000,bottom
C9,4.7uF,C_0603_1608Metric_stealth,276.407890,19.646140,90.000000,bottom
C10,100nF,C_0603_1608Metric_stealth,274.214250,0.571500,0.000000,bottom
C11,100nF,C_0603_1608Metric_stealth,282.487390,16.971500,180.000000,bottom
C12,100nF,C_0603_1608Metric_stealth,275.350750,16.971500,180.000000,bottom
C13,100nF,C_0603_1608Metric_stealth,268.549492,8.445500,90.000000,bottom
C14,100nF,C_0603_1608Metric_stealth,275.315750,-1.536500,180.000000,bottom
C15,100nF,C_0603_1608Metric_stealth,266.898492,8.445500,270.000000,bottom
C16,100nF,C_0603_1608Metric_stealth,265.247492,11.938000,270.000000,bottom
D1,BSD3C051V,D_SOD-323,324.391390,20.748500,270.000000,bottom
D5,BAV70,SOT-23_stealth,12.192000,6.096000,270.000000,bottom
D6,BAV70,SOT-23_stealth,53.086000,6.096000,270.000000,bottom
D7,BAV70,SOT-23_stealth,93.726000,6.096000,270.000000,bottom
D8,BAV70,SOT-23_stealth,134.620000,6.096000,270.000000,bottom
D9,BAV70,SOT-23_stealth,175.260000,6.096000,270.000000,bottom
D10,BAV70,SOT-23_stealth,216.154000,6.096000,270.000000,bottom
D11,BAV70,SOT-23_stealth,254.254000,6.096000,270.000000,bottom
D12,BAV70,SOT-23_stealth,306.070000,6.096000,270.000000,bottom
D13,BAV70,SOT-23_stealth,344.170000,6.096000,270.000000,bottom
