Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0603_1608Metric,269.12889,24.1985,0.0,bottom
C2,4.7uF,C_0603_1608Metric,273.15289,25.0735,-90.0,bottom
C3,1uF,C_0603_1608Metric,269.13039,22.2985,0.0,bottom
C4,1uF,C_0603_1608Metric,272.20039,19.6215,90.0,bottom
C5,4.7uF,C_0603_1608Metric,288.168,4.018008,90.0,bottom
C6,100nF,C_0603_1608Metric,286.4485,4.018008,90.0,bottom
C7,100nF,C_0603_1608Metric,269.24,12.129008,180.0,bottom
C8,4.7uF,C_0603_1608Metric,276.40789,19.64614,90.0,bottom
C9,100nF,C_0603_1608Metric,274.21425,0.5715,0.0,bottom
C10,100nF,C_0603_1608Metric,282.48739,16.9715,180.0,bottom
C11,100nF,C_0603_1608Metric,275.35075,16.9715,180.0,bottom
C12,100nF,C_0603_1608Metric,268.549492,8.4455,90.0,bottom
C13,100nF,C_0603_1608Metric,275.31575,-1.5365,180.0,bottom
C14,100nF,C_0603_1608Metric,266.898492,8.4455,-90.0,bottom
C15,100nF,C_0603_1608Metric,265.247492,11.938,-90.0,bottom
D1,BSD3C051V,D_SOD-323,324.39139,20.7485,-90.0,bottom
D5,BAV70,SOT-23,12.192,6.096,90.0,bottom
D6,BAV70,SOT-23,53.086,6.096,90.0,bottom
D7,BAV70,SOT-23,93.726,6.096,90.0,bottom
D8,BAV70,SOT-23,134.62,6.096,90.0,bottom
D9,BAV70,SOT-23,175.26,6.096,90.0,bottom
D10,BAV70,SOT-23,216.154,6.096,90.0,bottom
D11,BAV70,SOT-23,254.254,6.096,90.0,bottom
D12,BAV70,SOT-23,306.07,6.096,90.0,bottom
D13,BAV70,SOT-23,344.17,6.096,90.0,bottom
D14,BAV70,SOT-23,306.07,-12.954,90.0,bottom
D15,BAV70,SOT-23,344.17,-12.954,90.0,bottom
D16,BAV70,SOT-23,9.652,-32.004,90.0,bottom
D17,BAV70,SOT-23,47.752,-32.004,90.0,bottom
D18,BAV70,SOT-23,85.852,-32.004,90.0,bottom
D19,BAV70,SOT-23,123.952,-32.004,90.0,bottom
D20,BAV70,SOT-23,162.052,-32.004,90.0,bottom
D21,BAV70,SOT-23,200.152,-32.004,90.0,bottom
D22,BAV70,SOT-23,238.252,-32.004,90.0,bottom
D23,BAV70,SOT-23,306.07,-32.004,90.0,bottom
D24,BAV70,SOT-23,344.17,-32.004,90.0,bottom
D25,BAV70,SOT-23,19.05,-51.054,90.0,bottom
D26,BAV70,SOT-23,57.15,-51.054,90.0,bottom
D27,BAV70,SOT-23,95.25,-51.054,90.0,bottom
D28,BAV70,SOT-23,133.35,-51.054,90.0,bottom
D29,BAV70,SOT-23,171.45,-51.054,90.0,bottom
D30,BAV70,SOT-23,209.55,-51.054,90.0,bottom
D31,BAV70,SOT-23,250.19,-51.054,90.0,bottom
D32,BAV70,SOT-23,306.07,-51.054,90.0,bottom
D33,BAV70,SOT-23,344.17,-51.054,90.0,bottom
D34,BAV70,SOT-23,23.876,-70.104,90.0,bottom
D35,BAV70,SOT-23,61.976,-70.104,90.0,bottom
D36,BAV70,SOT-23,100.076,-70.104,90.0,bottom
D37,BAV70,SOT-23,138.176,-70.104,90.0,bottom
D38,BAV70,SOT-23,176.276,-70.104,90.0,bottom
D39,BAV70,SOT-23,214.376,-70.104,90.0,bottom
D40,BAV70,SOT-23,252.476,-70.104,90.0,bottom
D41,BAV70,SOT-23,306.07,-70.104,90.0,bottom
D42,BAV70,SOT-23,344.17,-70.104,90.0,bottom
D43,BAV70,SOT-23,17.78,-89.154,90.0,bottom
D44,BAV70,SOT-23,52.324,-89.154,90.0,bottom
D45,BAV70,SOT-23,90.424,-89.154,90.0,bottom
D46,BAV70,SOT-23,128.524,-89.154,90.0,bottom
D47,BAV70,SOT-23,166.624,-89.154,90.0,bottom
D48,BAV70,SOT-23,204.724,-89.154,90.0,bottom
D49,BAV70,SOT-23,257.302,-89.154,90.0,bottom
D50,BAV70,SOT-23,306.07,-89.154,90.0,bottom
D51,BAV70,SOT-23,341.376,-89.154,90.0,bottom
D52,BAV70,SOT-23,11.938,-108.204,90.0,bottom
D53,BAV70,SOT-23,47.752,-108.204,90.0,bottom
D54,BAV70,SOT-23,201.93,-108.204,90.0,bottom
D55,BAV70,SOT-23,218.948,-108.204,90.0,bottom
D56,BAV70,SOT-23,262.382,-113.538,90.0,bottom
D57,BAV70,SOT-23,306.07,-108.204,90.0,bottom
D58,BAV70,SOT-23,341.376,-108.204,90.0,bottom
F1,1206L050,Fuse_1206_3216Metric,311.95139,16.383,90.0,bottom
J4,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,316.20589,26.9,270.0,bottom
L1,PBY160808T-181Y-N,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,322.30189,20.7485,90.0,bottom
Q1,Q_NMOS_GSD,SOT-23,289.23275,-5.265,-90.0,bottom
R1,4k7,R_0603_1608Metric,260.885992,23.5585,180.0,bottom
R2,4k7,R_0603_1608Metric,260.885992,26.0985,180.0,bottom
R3,100R,R_0603_1608Metric,284.70989,-4.265,0.0,bottom
R4,10k,R_0603_1608Metric,284.70989,-6.1595,0.0,bottom
R5,5k1,R_0603_1608Metric,323.95589,25.355,90.0,bottom
R6,5k1,R_0603_1608Metric,325.55589,25.355,90.0,bottom
R7,1k,R_0603_1608Metric,260.73229,-4.4704,90.0,bottom
R8,1k,R_0603_1608Metric,267.94589,-4.4945,90.0,bottom
R9,1k,R_0603_1608Metric,275.15949,-4.4704,90.0,bottom
R10,10k,R_0603_1608Metric,271.81575,-1.5365,0.0,bottom
R11,47k,R_0603_1608Metric,263.596492,8.4455,-90.0,bottom
R12,47k,R_0603_1608Metric,265.247492,8.4455,90.0,bottom
R13,47k,R_0603_1608Metric,261.945492,11.938,90.0,bottom
R14,47k,R_0603_1608Metric,263.596492,11.938,-90.0,bottom
R15,560,R_0603_1608Metric,5.953125,-5.08,180.0,bottom
R16,560,R_0603_1608Metric,30.360958,-5.08,180.0,bottom
R17,560,R_0603_1608Metric,49.410958,-5.08,180.0,bottom
R18,560,R_0603_1608Metric,68.460958,-5.08,180.0,bottom
R19,560,R_0603_1608Metric,87.510958,-5.08,180.0,bottom
R20,560,R_0603_1608Metric,111.918839,-5.08,180.0,bottom
R21,560,R_0603_1608Metric,130.968839,-5.08,180.0,bottom
R22,560,R_0603_1608Metric,150.018839,-5.08,180.0,bottom
R23,560,R_0603_1608Metric,169.068839,-5.08,180.0,bottom
R24,560,R_0603_1608Metric,193.47672,-5.08,180.0,bottom
R25,560,R_0603_1608Metric,212.52672,-5.08,180.0,bottom
R26,560,R_0603_1608Metric,231.57672,-5.08,180.0,bottom
R27,560,R_0603_1608Metric,250.62672,-5.08,180.0,bottom
R28,560,R_0603_1608Metric,302.419015,-5.08,180.0,bottom
R29,560,R_0603_1608Metric,321.78464,-5.08,180.0,bottom
R30,560,R_0603_1608Metric,340.519015,-5.08,180.0,bottom
R31,560,R_0603_1608Metric,359.56928,-5.07984,180.0,bottom
R32,560,R_0603_1608Metric,302.419015,-24.13,180.0,bottom
R33,560,R_0603_1608Metric,321.78464,-24.13,180.0,bottom
R34,560,R_0603_1608Metric,340.519015,-24.13,180.0,bottom
R35,560,R_0603_1608Metric,359.56928,-24.12992,180.0,bottom
R36,560,R_0603_1608Metric,5.953125,-43.18,180.0,bottom
R37,560,R_0603_1608Metric,25.003125,-43.18,180.0,bottom
R38,560,R_0603_1608Metric,44.36875,-43.18,180.0,bottom
R39,560,R_0603_1608Metric,63.41875,-43.18,180.0,bottom
R40,560,R_0603_1608Metric,82.46875,-43.18,180.0,bottom
R41,560,R_0603_1608Metric,101.51875,-43.18,180.0,bottom
R42,560,R_0603_1608Metric,120.56875,-43.18,180.0,bottom
R43,560,R_0603_1608Metric,139.303125,-43.18,180.0,bottom
R44,560,R_0603_1608Metric,158.353125,-43.18,180.0,bottom
R45,560,R_0603_1608Metric,177.71875,-43.18,180.0,bottom
R46,560,R_0603_1608Metric,196.453125,-43.18,180.0,bottom
R47,560,R_0603_1608Metric,215.503125,-43.18,180.0,bottom
R48,560,R_0603_1608Metric,234.553125,-43.18,180.0,bottom
R49,560,R_0603_1608Metric,263.44375,-43.18,180.0,bottom
R50,560,R_0603_1608Metric,302.73464,-43.18,180.0,bottom
R51,560,R_0603_1608Metric,321.78464,-43.18,180.0,bottom
R52,560,R_0603_1608Metric,340.519015,-43.18,180.0,bottom
R53,560,R_0603_1608Metric,359.56928,-43.18,180.0,bottom
R54,560,R_0603_1608Metric,10.71567,-62.23008,180.0,bottom
R55,560,R_0603_1608Metric,34.8439,-62.23008,180.0,bottom
R56,560,R_0603_1608Metric,53.57835,-62.23008,180.0,bottom
R57,560,R_0603_1608Metric,72.62843,-62.23008,180.0,bottom
R58,560,R_0603_1608Metric,91.67851,-62.23008,180.0,bottom
R59,560,R_0603_1608Metric,110.72859,-62.23008,180.0,bottom
R60,560,R_0603_1608Metric,129.77867,-62.23008,180.0,bottom
